IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,347486031,8999.995,932.19037,1799.0167,0.114246875,0.14284861,-1.9254763,-0.0026755333,0.037133463,4.902431,-0.03970083,-0.00046970253,0.0031058188,-1.8062403,-0.022627188,0.025225097,0.6104076,0.6355984,0.3709035,0.3636513,0.0039048938,0.0058441455,-0.07236369,-0.0056744427,14.964357,14.96474,14.242774,14.129906,0,0,0,0,0,0,0,0,0,0,0,0,-0.052222818,0.056606058,0.040384024,-0.032575898,0.052368604,0.05690694,0.08286962,0.033066425,0.0048415065,0.007487271,-0.0021864716,-0.0027977545,41,5,212,2,8,-2871.2986,200.4466,2697.6973,4.9025717,-8417.225,-44.65176,250.3178,241.97792,255.15514,255.15514,-11.024998,0.9154796,0,0,0,0,5342.39,0,0,0,0,0,0,1,0,240,0
True,347486140,8999.995,932.19037,1738.0961,0.0061719418,0.021890966,-1.477374,-0.002064824,0.017908048,4.733974,-0.038581472,-0.0002893968,0.0010790797,-1.8063725,-0.026588593,0.025445528,0.592668,0.6097689,0.37004927,0.3589389,0.005467705,-0.057217833,-0.06186406,0.0013283073,14.449959,14.536955,13.759495,13.638576,0,0,0,0,0,0,0,0,0,0,0,0,-0.05090144,0.059241306,0.039112195,-0.033420566,0.051194258,0.082361475,0.073191024,0.033446953,0.002978336,0.004774425,-0.0022584703,-0.0031949617,41,5,212,2,8,-2871.767,200.46127,2697.5845,4.7340074,-7564.2607,-41.526592,249.50493,241.64993,254.06009,254.06009,-11.024998,0.9154796,0,0,0,0,5342.4897,0,0,0,0,0,0,1,0,241,0
True,347486234,8999.995,932.19037,1681.1232,0.09521517,-0.028936222,-1.5595552,-0.0012363195,-0.0044765025,4.580038,-0.035825733,-0.00078291417,-0.00081242155,-1.8065052,-0.030294541,0.025452647,0.5759326,0.58834606,0.36822093,0.35243693,0.0036333823,0.006266306,-0.061192792,-0.003936324,13.984179,13.954492,13.303598,13.2154,0,0,0,0,0,0,0,0,0,0,0,0,-0.051524334,0.059561934,0.038857352,-0.033286992,0.051652282,0.059890654,0.0724876,0.03351893,0.0012206398,0.0025244094,-0.0024125818,-0.0037430134,41,5,212,2,8,-2872.2197,200.47517,2697.4756,4.5800405,-6796.27,-38.57981,248.73853,241.3411,253.0278,253.0278,-11.024998,0.9154796,0,0,0,0,5342.5894,0,0,0,0,0,0,1,0,242,0
True,347486375,8999.995,932.19037,1610.8223,0.054724425,0.027296405,-1.4723693,-0.003962636,-0.023187492,4.388441,-0.027882477,-0.00052605645,0.0067596333,-1.806688,-0.034735072,0.025435815,0.5587252,0.57088405,0.37180924,0.3909707,-0.048593983,0.0059876246,0.004187799,-0.05117476,13.462943,13.411132,12.641094,12.748832,0,0,0,0,0,0,0,0,0,0,0,0,-0.049854193,0.062036134,0.036770612,-0.03445556,0.069619074,0.062324423,0.03700832,0.061693124,-0.0005866401,0.00069039315,-0.0021101218,-0.0004950054,41,5,212,2,8,-2872.8008,200.4924,2697.336,4.3885036,-5906.101,-34.98246,247.78424,240.95502,251.74301,251.74301,-11.024998,0.9154796,0,0,0,0,5342.722,0,0,0,0,0,0,1,0,242,0
True,347486468,8999.995,932.19037,1558.795,0.10116646,0.3302253,-1.3478241,-0.0054056644,0.00666382,4.253739,-0.011301211,-0.00046970212,0.009969653,-1.8067788,-0.036648825,0.026565636,0.5732077,0.60871136,0.41657183,0.42951217,-0.025155447,0.008776757,0.008956312,-0.051895805,13.02454,13.031696,12.228027,12.332122,0,0,0,0,0,0,0,0,0,0,0,0,-0.048032433,0.06326103,0.036747687,-0.034085244,0.05422095,0.06386697,0.03782338,0.06208847,0.0009344369,0.0046633594,0.00166291,0.002753649,41,5,212,2,8,-2873.2207,200.50677,2697.2344,4.2537475,-5280.082,-32.31112,247.11734,240.68459,250.84483,250.84483,-11.024998,0.9154796,0,0,0,0,5342.822,0,0,0,0,0,0,1,0,243,0
True,347486578,8999.995,932.19037,1510.2781,0.06928775,0.27170816,-1.3772004,-0.0038474798,0.02939761,4.120305,-0.012572385,-0.0004064162,0.006189941,-1.8068742,-0.037704114,0.027365373,0.5949631,0.62353635,0.42017868,0.42102695,-0.023273015,0.007936477,0.0080871945,-0.048664186,12.617944,12.62427,11.8502865,11.946029,0,0,0,0,0,0,0,0,0,0,0,0,-0.048598643,0.062331453,0.037106413,-0.034434035,0.053883776,0.06283469,0.037977476,0.059614643,0.0032193847,0.006220408,0.0019669328,0.0020384304,41,5,212,2,8,-2873.6277,200.5244,2697.136,4.120412,-4718.5586,-29.805065,246.4874,240.42972,249.99895,249.99895,-11.024998,0.9154796,0,0,0,0,5342.9214,0,0,0,0,0,0,1,0,244,0
True,347486703,8999.995,932.19037,1451.284,-0.09819786,0.05586976,-1.194596,-0.002283454,0.026068686,3.954951,-0.020544449,-0.00037268212,0.0021983022,-1.807018,-0.03998056,0.027902178,0.5943009,0.61505187,0.40653682,0.3947389,-0.020540873,0.007332729,0.0073847678,-0.04191854,12.12132,12.126818,11.392564,11.475789,0,0,0,0,0,0,0,0,0,0,0,0,-0.049129255,0.06202772,0.03722338,-0.03447459,0.053250458,0.062459644,0.037948843,0.054273944,0.003149841,0.005329285,0.00081706233,-0.00017738156,41,5,212,2,8,-2874.1504,200.54924,2697.0095,3.9550374,-4071.8083,-26.76648,245.70224,240.11047,248.94571,248.94571,-11.024998,0.9154796,0,0,0,0,5343.054,0,0,0,0,0,0,1,0,244,0
True,347486812,8999.995,932.19037,1410.0194,0.13956252,-0.006087458,-1.2906379,-0.001568377,0.015051598,3.8413641,-0.0221924,-9.63886E-05,0.00049154414,-1.8071278,-0.04214433,0.028030774,0.5833695,0.6023884,0.3991177,0.38146362,0.009311082,0.007866744,0.008571915,-0.040970474,11.773193,11.776422,11.079387,11.140503,0,0,0,0,0,0,0,0,0,0,0,0,-0.049663343,0.06182854,0.03698293,-0.03458907,0.050528646,0.06232699,0.03796334,0.053618874,0.0020017214,0.003999252,0.00019170344,-0.0012963545,41,5,212,2,8,-2874.529,200.56729,2696.9182,3.841394,-3643.2998,-24.647453,245.15195,239.88423,248.20828,248.20828,-11.024998,0.9154796,0,0,0,0,5343.154,0,0,0,0,0,0,1,0,245,0
True,347486937,8999.995,932.19037,1359.1725,0.089642525,-0.027230822,-1.1132388,-0.0009239316,0.00013545435,3.7015266,-0.021766039,-3.1667907E-05,-0.0009569982,-1.8072569,-0.045068398,0.027991485,0.56821734,0.5865179,0.39267612,0.37097424,0.0085531,0.0072045666,0.007861016,-0.034869857,11.345321,11.34767,10.684086,10.735962,0,0,0,0,0,0,0,0,0,0,0,0,-0.050606232,0.06124141,0.037115034,-0.03427815,0.051323935,0.061663736,0.03793839,0.048896816,0.0004103072,0.002332393,-0.00035125576,-0.0021805055,41,5,212,2,8,-2875.0176,200.59023,2696.8003,3.7015266,-3138.5962,-22.028421,244.46631,239.59784,247.29022,247.29022,-11.024998,0.9154796,0,0,0,0,5343.2866,0,0,0,0,0,0,1,0,246,0
True,347487046,8999.995,932.19037,1323.8947,-0.06913802,-0.0021556527,-1.1222625,-0.00085932016,-0.010462322,3.6044133,-0.02151346,-4.0835817E-05,-0.0010523233,-1.8073417,-0.0472342,0.027886886,0.5590944,0.5784005,0.38850147,0.36720252,0.007947313,0.006744947,0.007304973,-0.030311788,11.048079,11.050157,10.409927,10.455268,0,0,0,0,0,0,0,0,0,0,0,0,-0.050797176,0.06125839,0.03716158,-0.034092657,0.051415104,0.061628602,0.037872758,0.045619227,-0.0005478598,0.0014798343,-0.00070313737,-0.0024984237,41,5,212,2,8,-2875.3723,200.60655,2696.7146,3.6044283,-2804.885,-20.21158,243.98593,239.39307,246.64758,246.64758,-11.024998,0.9154796,0,0,0,0,5343.386,0,0,0,0,0,0,1,0,246,0
