IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True,41177671,9999.995,747.6559,5459.277,-0.14281105,0.13591786,9.54211,0.00023637712,0.043475308,9.56739,-0.014925343,-0.0037239136,0.003218114,-1.5917748,0.024094999,0.002322192,0.4909193,0.51203036,0.5347535,0.5559078,-0.030936662,-0.03088033,1.3253593,1.2704487,31.782904,31.800388,35.937267,35.797997,0,0,0,0,0,0,0,0,0,0,0,0,0.015792683,-0.00965195,-0.007205143,-0.0057307547,0.034734506,0.03235359,1.3253789,1.2704616,-0.0072008222,-0.006230414,0.0052487254,0.006528735,87,3,11,1,6,1486.8734,215.11928,1987.6652,9.567489,183823.31,322.6864,91.4028,91.39909,94.82971,94.82971,0,1,-79.94553,0,0,1.6016017,1.6016011,0,4,255,0,0,0,1,0,63,0
True,41177765,9999.995,747.6559,6161.47,-0.08796917,0.111361995,9.804419,-0.000605911,0.03806638,10.5493765,-0.012744558,-0.0009059916,0.00073657103,-1.5920271,0.022614641,0.0025546895,0.48083332,0.49971506,0.56082076,0.54482925,-0.02706684,-0.027392505,1.6181868,1.535495,35.059353,35.062267,40.7319,40.23023,0,0,0,0,0,0,0,0,0,0,0,0,0.013775594,-0.010857422,-0.0012080468,0.00082994957,0.030370723,0.029465793,1.6181873,1.5354953,-0.007664442,-0.006796509,0.0068260133,0.0058583915,87,3,11,1,6,1485.8658,215.09987,1987.6438,10.549444,210421.23,327.26752,91.38052,91.376114,96.6011,96.6011,0,1,-78.15407,0,0,1.7017019,1.7017012,0,4,255,0,0,0,1,0,63,0
True,41177906,9999.995,747.6559,7287.613,0.027179778,0.030894553,8.834801,0.00035616755,0.024083614,11.727075,-0.0043431465,-0.0021550043,0.0010266409,-1.5923789,0.021346975,0.0027067773,0.4689427,0.47510618,0.5881305,0.6019367,-0.022265034,-0.022335617,2.3298619,2.4032092,38.97311,38.983093,47.694855,48.06487,0,0,0,0,0,0,0,0,0,0,0,0,0.013634157,-0.010264088,-0.004279864,-0.0013997267,0.02610789,0.024581116,2.3298657,2.4032097,-0.008211017,-0.007927701,0.008478478,0.0093138665,87,3,11,1,6,1484.3768,215.071,1987.6119,11.7270975,236954.72,311.4458,91.35032,91.34488,101.059105,101.059105,0,1,-75.505554,0,0,1.8351686,1.8351679,0,4,255,0,0,0,1,0,63,0
True,41178000,9999.995,747.6559,8005.081,0.0074501336,0.1056904,8.751152,0.00086700916,0.039480314,12.591163,0.008451539,0.0017015208,-0.010050491,-1.5925968,0.021579025,0.0025876444,0.46495667,0.45882463,0.6155934,0.60685486,-0.022931825,-0.021940205,2.5284307,2.7943468,41.83347,41.828632,52.64402,52.543278,0,0,0,0,0,0,0,0,0,0,0,0,0.013799983,-0.010212838,0.0021464033,0.004991329,0.026763933,0.024200715,2.5284317,2.794351,-0.008394241,-0.008676112,0.01014021,0.009611458,87,3,11,1,6,1483.1594,215.04794,1987.5856,12.591224,241386.02,288.48132,91.32795,91.321495,106.4436,106.4436,0,1,-73.34075,0,0,1.9352688,1.9352679,0,4,255,0,0,0,1,0,63,0
True,41178109,9999.995,747.6559,8475.901,0.009131953,-0.004815806,9.043898,-0.0011490583,0.06136915,13.523287,0.014995652,-0.0069414056,0.0038790393,-1.5925089,0.023013694,0.0023497036,0.4466711,0.4336381,0.56816864,0.59499025,-0.01925805,-0.020257195,2.839277,2.198839,44.923103,44.956005,55.9017,55.47221,0,0,0,0,0,0,0,0,0,0,0,0,0.018346129,-0.0070752352,-0.008050785,-0.006264897,0.026597988,0.021457234,2.8392885,2.1988478,-0.009234771,-0.009833857,0.0072706193,0.008893549,87,3,11,1,6,1481.8505,215.0245,1987.557,13.523426,241348.95,272.51913,91.30645,91.2995,111.809135,111.809135,0,1,-70.985725,0,0,2.035369,2.035368,0,4,255,0,0,0,1,0,63,0
True,41178203,9999.995,747.6559,8910.608,-0.0416203,0.0908532,9.025643,0.0003002286,0.07490403,14.400223,0.004011353,0.0023840857,-0.0068604653,-1.5926945,0.023844758,0.0015491159,0.44091934,0.4254547,0.55984557,0.56182015,-0.021148842,-0.02121599,1.9746449,2.6412637,47.860485,47.84918,57.063107,60.02288,0,0,0,0,0,0,0,0,0,0,0,0,0.013638625,-0.013303388,0.0034833208,0.004640652,0.025165167,0.025041932,1.974648,2.6412678,-0.009499162,-0.010210022,0.0067670047,0.0068864822,87,3,11,1,6,1480.4545,214.99768,1987.5266,14.400417,239400.3,256.71143,91.286255,91.2775,116.57536,116.57536,0,1,-68.502945,0,0,2.135469,2.135468,0,4,255,0,0,0,1,0,63,0
True,41178343,9999.995,747.6559,8905.387,1.7675836,0.23815556,8.910611,0.14061141,0.07299997,15.58376,-0.034075484,0.07891032,0.012695735,-1.5913036,0.02218551,0.0018207204,0.48956555,0.4548999,0.5318369,0.5092807,-0.020558814,-0.01610702,1.4483572,1.2192291,52.019363,51.67858,59.08395,57.933426,0,0,0,0,0,0,0,0,0,0,0,0,0.25248536,0.24069577,-0.035769213,-0.03601091,0.253321,0.24123411,1.4487989,1.2197608,-0.0072630495,-0.00885652,0.005072251,0.003707409,87,3,11,1,6,1478.4521,214.96088,1987.4868,15.584564,239551.69,257.10068,91.28937,91.27169,120.610504,120.610504,0,1,-64.94202,0,0,2.2689357,2.2689347,0,4,255,0,0,0,1,31,63,0
True,41178437,9999.995,747.6559,9060.827,0.1303743,0.48759913,9.82823,-0.0020327866,0.06170264,16.58716,-0.04698919,0.05986647,-0.009445876,-1.582272,0.017855972,0.0011415605,0.5162702,0.4755344,0.56375754,0.5395835,-0.017837428,-0.019525906,0.650117,0.9687876,55.35459,55.06649,58.775967,60.283916,0,0,0,0,0,0,0,0,0,0,0,0,-0.029687325,-0.056428168,0.04592436,0.048507743,0.034633957,0.05971096,0.65173703,0.9700013,-0.0060355216,-0.007908016,0.0070037097,0.005540982,87,3,11,1,6,1476.8411,214.9355,1987.4705,16.587275,238389.88,251.33972,91.31178,91.293655,120.0457,120.0457,0,1,-62.077732,0,0,2.369036,2.3690348,0,4,255,0,0,0,1,0,63,0
True,41178531,9999.995,747.6559,8449.923,0.40660152,0.41119915,2.675272,-0.0045310855,0.08945328,16.828804,0.036345646,0.013047739,-0.0028687764,-1.5790963,0.016915917,0.0009498932,0.5305205,0.5121863,0.5640545,0.5407397,0.0056673787,0.0050575244,-0.08437667,-0.09837542,56.046616,55.98308,55.531002,55.501564,0,0,0,0,0,0,0,0,0,0,0,0,0.006718936,-0.01907989,0.013035795,0.014361438,0.008789953,0.019738814,0.085377716,0.09941818,-0.0053804815,-0.0062232465,0.0070216805,0.005610943,87,3,11,1,6,1475.1553,214.91438,1987.4537,16.82904,-63628.242,-71.88042,91.29245,91.28263,118.97398,118.97398,0,1,-59.08072,0,0,2.469136,2.4691348,0,4,255,0,0,0,1,0,62,0
