IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,85840015,7999.995,856.93317,3684.4556,-0.004095681,0.21893957,-1.7379495,0.0015036464,0.10589777,18.896933,-0.0017877866,0.0007611521,-0.006694812,-1.6043844,0.00086913246,0.00093942793,0.43900672,0.3937648,0.4249626,0.4480576,0.0026012892,0.0025087113,-0.034323692,-0.056732554,57.800163,57.79705,58.01988,58.20607,0,0,0,0,0,0,0,0,0,0,0,0,0.017623289,-0.01705668,0.004792482,-0.0028404272,0.017814236,0.017240183,0.034656655,0.056803614,0.0019104034,-0.00095169246,0.0012948364,0.002744913,20,3,31,1,8,1454.3282,214.8481,1986.6505,18.897232,-46706.98,-121.02553,97.14818,97.00733,179.8196,179.8196,-11.02495,1,-22.014647,0,0,3.7037039,3.703702,0,4,0,0,0,0,2,0,70,0
True,85850515,7999.995,856.93317,1245.2101,0.0022768236,-0.006987349,0.11333218,0.0011230599,-0.00012963505,0.018734133,-0.00052518124,-1.699495E-05,-0.0022305734,-1.5910351,0.0290929,0.0017434065,0.40899172,0.4136699,0.40255183,0.40110627,-0.0005174634,-0.0004854006,-0.00067109324,-0.0006508187,0.05802021,0.05803899,0.058769986,0.05881503,0,0,0,0,0,0,0,0,0,0,0,0,0.0017465708,0.0017562947,0.001388454,0.00076009496,0.0018216141,0.0018221375,0.0015421319,0.0010006544,1.1593103E-05,0.00030754507,-0.00011228025,-0.00020304322,20,3,31,1,8,1492.4792,215.27321,1987.7793,0.018768212,35687.01,277.77426,91.089714,91.10058,91.3377,91.3377,-5.858241,1,-89.91748,0,0,0.10010011,0.10010011,0,4,255,0,0,0,1,0,64,0
True,85850625,7999.995,856.93317,2306.795,-0.023919271,0.0047863894,0.17509082,0.002165543,-0.00018207272,0.03740269,-0.00016546014,-1.7845427E-05,-0.0044534593,-1.591036,0.029059853,0.0013884173,0.4062874,0.41583952,0.40120763,0.4048399,-0.0005272277,-0.00046810732,-0.0006804245,-0.0006485195,0.11462419,0.11452983,0.11574601,0.11572849,0,0,0,0,0,0,0,0,0,0,0,0,0.0015902044,0.0013399927,0.0013287199,0.000724516,0.0016753266,0.0014194031,0.0014928075,0.00097236875,-0.00015948713,0.00044479966,-0.00019668043,3.1381845E-05,20,3,31,1,8,1492.4763,215.27312,1987.7794,0.037465766,135443.61,569.99963,91.04538,91.05624,91.29303,91.29303,2.6033182,1,-89.912155,0,0,0.20020021,0.20020023,0,4,255,0,0,0,1,0,64,0
True,85850750,7999.995,856.93317,4111.684,-0.012843658,-0.0024459213,0.26414943,0.0012229596,0.0004943426,0.0644809,-0.00033691764,-3.0571777E-05,-0.0026656152,-1.5910378,0.02904827,0.000879234,0.40221316,0.42027158,0.3976667,0.4095912,-0.0010191791,-0.0008511946,0.01877448,0.017723704,0.19572867,0.1958171,0.25730312,0.2536651,0,0,0,0,0,0,0,0,0,0,0,0,0.0015690413,0.0006254635,0.0010883979,0.00043761614,0.0018709934,0.0010562844,0.018806001,0.017729105,-0.0004172325,0.0007251799,-0.00041900575,0.0003297031,20,3,31,1,8,1492.4696,215.27293,1987.7795,0.064494394,243272.58,569.9997,90.98625,90.99686,91.23343,91.23343,7.042989,1,-89.90009,0,0,0.33366704,0.33366707,0,4,255,0,0,0,1,0,64,0
True,85850859,7999.995,856.93317,4758.8276,0.04724421,-0.05557057,4.9638405,-5.9315935E-06,-0.004429874,0.5927676,-0.030099044,-0.0034627046,0.0021179242,-1.5910828,0.02761516,0.00069671206,0.38934475,0.41079578,0.4116379,0.436388,-0.037149705,-0.03865338,5.0205436,3.2859516,1.7813194,1.7951014,12.357832,9.022705,0,0,0,0,0,0,0,0,0,0,0,0,0.0053517018,0.0036902686,-0.005843372,-0.0064805252,0.037533205,0.038829137,5.020547,3.285958,-0.0012313128,0.0001257211,0.0004582107,0.002012208,20,3,31,1,8,1492.4437,215.2721,1987.779,0.5927842,281007.66,563.5893,90.947464,90.95818,91.34117,91.34117,7.5604544,1,-89.85396,0,0,0.43376714,0.4337672,0,4,255,0,0,0,1,0,63,0
True,85850953,7999.995,856.93317,4816.0693,0.04171527,0.15587328,7.6671786,0.005402224,0.01496354,1.415348,-0.0089417165,-0.00525818,0.0017992515,-1.5915778,0.025619578,0.0007513648,0.35305667,0.37748238,0.461585,0.48418206,-0.03404024,-0.035114452,23.823505,21.95817,4.2662063,4.2902226,46.43506,44.310688,0,0,0,0,0,0,0,0,0,0,0,0,0.015555186,-0.005201189,-0.09021619,-0.09576036,0.037425946,0.035497565,23.823675,21.958378,-0.0035269707,-0.0019817501,0.0035942644,0.0050130785,20,3,31,1,8,1492.342,215.27016,1987.7773,1.4154373,283839.9,564.25946,90.92019,90.93053,100.90808,100.90808,7.6720877,1,-89.673676,0,0,0.53386724,0.5338673,0,4,255,0,0,0,1,0,63,0
True,85851093,7999.995,856.93317,5375.579,0.06250044,0.041004043,7.72533,0.014319539,0.010012712,2.4290924,-0.0049233423,-0.009724397,-0.0031463266,-1.5930804,0.024655143,0.0013085104,0.33019993,0.3658584,0.45535728,0.4710942,-0.035305712,-0.032985218,23.549446,24.777407,7.3474183,7.399036,49.878185,51.409996,0,0,0,0,0,0,0,0,0,0,0,0,0.013601691,-0.007593747,-0.11476042,-0.12578872,0.037835162,0.033848036,23.549726,24.777725,-0.0049729347,-0.0027171075,0.003203243,0.004191324,20,3,31,1,8,1492.0851,215.26495,1987.7733,2.429155,315523.47,561.83813,90.88625,90.89409,112.917435,112.917435,7.698827,1,-89.21658,0,0,0.6673341,0.667334,0,4,255,0,0,0,1,0,63,0
True,85851187,7999.995,856.93317,5863.5586,-0.1218919,-0.07263033,7.0083685,0.009254731,-0.0061328486,3.1164804,-0.012566948,-0.005753027,-0.0035035294,-1.5939279,0.023583863,0.0013060847,0.32011595,0.35791624,0.469679,0.47801724,-0.03771776,-0.03514556,24.371008,26.101067,9.4658165,9.497459,54.218964,56.26387,0,0,0,0,0,0,0,0,0,0,0,0,0.012208097,-0.008586895,-0.05067007,-0.061426885,0.039644256,0.036179345,24.371061,26.10114,-0.0056108683,-0.003219545,0.0041024685,0.004626006,20,3,31,1,8,1491.8075,215.25789,1987.7681,3.1165,342846.25,559.3873,90.85921,90.86743,121.291756,121.291756,7.7019377,1,-88.72258,0,0,0.7674342,0.76743406,0,4,255,0,0,0,1,0,63,0
True,85851281,7999.995,856.93317,6283.043,-0.059764907,0.004951981,7.145646,-0.0031725913,-0.0020136684,3.8477983,-0.0042096605,0.00034863828,0.0041953665,-1.5939583,0.022954874,0.0010768184,0.31020814,0.35121563,0.47089982,0.4992497,-0.032426804,-0.03199806,26.943766,26.443504,11.714254,11.712249,59.482834,58.90404,0,0,0,0,0,0,0,0,0,0,0,0,0.01221559,-0.008374649,0.009638396,-0.0010093683,0.034651384,0.03307583,26.943768,26.443504,-0.006237656,-0.0036434382,0.00417912,0.0059591383,20,3,31,1,8,1491.4569,215.24983,1987.7603,3.8478,350734.38,534.0892,90.833466,90.843704,129.76768,129.76768,7.702611,1,-88.099396,0,0,0.8675343,0.8675341,0,4,255,0,0,0,1,0,63,0
True,85851421,7999.995,856.93317,6699.68,-0.050909787,-0.06866902,7.2608995,-0.0034011677,0.005365718,4.8489695,0.0026283308,0.00068196765,0.0027320154,-1.5939927,0.023243923,0.001632836,0.31057137,0.3405489,0.4676214,0.48972648,-0.03117248,-0.030726299,27.554554,27.144035,14.768522,14.7650795,63.36091,62.876347,0,0,0,0,0,0,0,0,0,0,0,0,0.012888662,-0.007824745,0.011436109,0.0009901618,0.0337319,0.031706974,27.554556,27.144035,-0.0062146783,-0.0043182373,0.0039732754,0.0053611994,20,3,31,1,8,1490.8738,215.23773,1987.7462,4.8489738,345044.44,492.56973,90.80251,90.812965,140.33281,140.33281,7.702777,1,-87.062065,0,0,1.0010011,1.0010009,0,4,255,0,0,0,1,0,64,0
True,85851515,7999.995,856.93317,6926.309,0.010616392,0.14485313,7.650592,-0.0024246424,0.019153157,5.6055975,0.004289806,-0.0004918669,0.0020534177,-1.5940324,0.023330538,0.00201816,0.31579342,0.3374821,0.48044416,0.49973053,-0.03785461,-0.037335426,26.601532,26.26278,17.06514,17.067877,65.46464,65.04285,0,0,0,0,0,0,0,0,0,0,0,0,0.01437962,-0.0064808642,0.006318936,-0.004869693,0.04049376,0.037893742,26.601532,26.26278,-0.0058843195,-0.0045122504,0.004778385,0.005989328,20,3,31,1,8,1490.3516,215.22626,1987.7338,5.6056304,339221.72,467.99738,90.78064,90.79101,147.72748,147.72748,7.702777,1,-86.13333,0,0,1.1011012,1.1011009,0,4,255,0,0,0,1,0,64,0
True,85851625,7999.995,856.93317,6881.999,0.03408891,-0.11649965,6.950764,-0.005077526,-0.00089633296,6.290443,-0.005152582,-0.001138939,0.008805384,-1.593898,0.023274995,0.0021768848,0.3092226,0.33149236,0.44957078,0.48592925,-0.033299584,-0.03476007,25.956535,22.882887,19.175434,19.178759,67.148384,62.5242,0,0,0,0,0,0,0,0,0,0,0,0,0.014136399,-0.0070375404,0.0047792867,-0.004410032,0.03617596,0.035465326,25.956535,22.882887,-0.0063000023,-0.004891172,0.002839923,0.005122781,20,3,31,1,8,1489.7555,215.21295,1987.7196,6.290445,-262046.62,-361.29962,90.759094,90.7698,154.53937,154.53937,3.478486,1,-85.07293,0,0,1.2012013,1.201201,0,4,255,0,0,0,1,0,64,0
True,85851750,7999.995,856.93317,6899.6177,-0.06475966,-0.14636093,7.0297422,-0.007231161,-0.0011617941,7.278628,-0.0050365175,0.0036247065,-0.00023235136,-1.5936165,0.023230843,0.0025200096,0.31665036,0.31705832,0.44697252,0.46542802,-0.0261685,-0.02626477,20.09358,19.71845,22.214474,22.195835,65.28634,64.718216,0,0,0,0,0,0,0,0,0,0,0,0,0.013902216,-0.00764291,0.022207072,0.013527755,0.02963211,0.0273542,20.093592,19.718454,-0.005830109,-0.0058043003,0.002676785,0.003835559,20,3,31,1,8,1488.8452,215.19313,1987.6979,7.278631,334938.3,464.12396,90.732254,90.7426,163.18082,163.18082,6.450469,1,-83.45394,0,0,1.3346682,1.3346677,0,4,255,0,0,0,1,0,64,0
True,85851859,7999.995,856.93317,7055.552,0.07887974,0.16977185,7.86047,0.0006377101,0.024047893,8.075196,-0.0020976223,0.00045216488,-0.0073944125,-1.5936971,0.022967936,0.002483795,0.34065562,0.32927778,0.47283378,0.47509456,-0.026123744,-0.025201652,16.869173,17.84133,24.632391,24.631756,65.68262,67.260086,0,0,0,0,0,0,0,0,0,0,0,0,0.013968772,-0.007466842,0.008396805,-0.0013447764,0.029623918,0.02628454,16.869175,17.84133,-0.004311487,-0.005031273,0.0043005496,0.004442498,20,3,31,1,8,1488.0757,215.17696,1987.6799,8.075232,334547.38,453.18594,90.71392,90.72216,169.3372,169.3372,7.4326296,1,-82.085144,0,0,1.4347682,1.4347677,0,4,255,0,0,0,1,0,64,0
True,85851953,7999.995,856.93317,6738.764,-0.07083711,0.14800741,7.5033484,0.002392754,0.01987276,8.800191,-0.012992348,-0.00518501,0.0027278243,-1.593925,0.021830317,0.002628744,0.3526306,0.35850722,0.46883935,0.48679405,-0.027517661,-0.027645282,13.635199,13.469753,26.841032,26.867373,63.58513,63.388577,0,0,0,0,0,0,0,0,0,0,0,0,0.0142809,-0.0063513056,-0.008596295,-0.017891655,0.031002674,0.028365485,13.635201,13.469765,-0.003553927,-0.0031821579,0.004049748,0.0051770806,20,3,31,1,8,1487.2327,215.15933,1987.6606,8.800214,325114.9,460.9057,90.69424,90.70166,174.89914,174.89914,3.442113,1,-80.585754,0,0,1.5348684,1.5348678,0,4,255,0,0,0,1,0,64,0
True,85852093,7999.995,856.93317,7041.8057,-0.028036132,-0.09623698,7.2356615,0.0049643666,-0.002073565,9.793617,-0.018609844,-0.0060433303,0.0033076685,-1.594518,0.020086968,0.002817282,0.34569138,0.3558745,0.4553777,0.45986578,-0.02528653,-0.025336554,12.383121,11.775022,29.882816,29.913784,66.99198,65.69172,0,0,0,0,0,0,0,0,0,0,0,0,0.011436859,-0.008255652,-0.012981481,-0.0197789,0.027752662,0.026647642,12.383127,11.775039,-0.003992915,-0.0033487082,0.0032045245,0.0034863204,20,3,31,1,8,1485.9891,215.1349,1987.6321,9.793619,333339.34,452.16946,90.6687,90.67569,181.94626,181.94626,7.1515207,1,-78.3741,0,0,1.6683351,1.6683345,0,4,255,0,0,0,1,0,64,0
True,85852187,7999.995,856.93317,6978.547,-0.026838496,-0.008168238,7.78155,0.004415542,0.00071800343,10.603134,-0.0057178014,-0.001370802,-0.0025894956,-1.5948673,0.019189712,0.0025606982,0.3326953,0.33994475,0.48633626,0.47459832,-0.01867818,-0.018559344,10.674248,10.808342,32.366077,32.37303,65.55412,65.93763,0,0,0,0,0,0,0,0,0,0,0,0,0.008510396,-0.010797639,-0.00023686055,-0.009471988,0.020525625,0.021471802,10.674248,10.808347,-0.004815072,-0.004356459,0.0051483363,0.0044113398,20,3,31,1,8,1484.9656,215.11568,1987.6082,10.603134,-280201.44,-381.09265,90.65031,90.657486,187.33112,187.33112,4.649537,1,-76.553894,0,0,1.7684352,1.7684345,0,4,255,0,0,0,1,0,64,0
True,85852281,7999.995,856.93317,6595.4556,4.172325E-06,0.2212412,8.249133,0.0031537712,0.016537374,11.412448,0.00703939,-0.003932592,-0.00015038722,-1.5951192,0.018917754,0.002539156,0.32391766,0.32478213,0.5220378,0.53795177,-0.021347087,-0.021585723,7.885685,7.6756887,34.802673,34.822315,62.398067,61.87537,0,0,0,0,0,0,0,0,0,0,0,0,0.011781839,-0.0074971286,-0.0012944178,-0.014740222,0.024382573,0.02285061,7.885685,7.675703,-0.0053703636,-0.0053156763,0.007389948,0.008389145,20,3,31,1,8,1483.8652,215.09499,1987.5819,11.41246,331771.25,480.67712,90.63245,90.63948,191.94229,191.94229,4.3478613,1,-74.596695,0,0,1.8685353,1.8685346,0,4,255,0,0,0,1,0,64,0
True,85852390,7999.995,856.93317,6874.012,-0.007543832,-0.14783163,7.4107847,0.005318463,0.0022506274,12.150102,0.0044139763,-0.006780881,0.0030359214,-1.595521,0.019598879,0.0023979908,0.3166845,0.30822462,0.48070925,0.50768334,-0.018177764,-0.019272879,7.9969454,6.999468,37.06032,37.09187,66.20443,63.317657,0,0,0,0,0,0,0,0,0,0,0,0,0.011905235,-0.007868653,-0.0081277955,-0.018260496,0.021729376,0.02081729,7.996949,6.9994917,-0.0058279485,-0.0063631386,0.0047950298,0.006488666,20,3,31,1,8,1482.6849,215.07301,1987.5533,12.150102,337554.4,469.29416,90.61578,90.62152,196.10962,196.10962,6.9790297,1,-72.469505,0,0,1.9686354,1.9686346,0,4,255,0,0,0,1,0,64,0
True,85852515,7999.995,856.93317,7138.6772,0.0014896542,-0.18508647,7.39011,0.012767047,0.0070817047,13.1900015,-0.0005185966,-0.008445467,-0.0047936947,-1.5965285,0.02052987,0.0019161745,0.3093253,0.29377663,0.46021703,0.46820688,-0.015130895,-0.015247226,6.9414616,6.763401,40.249256,40.291866,67.49457,67.0144,0,0,0,0,0,0,0,0,0,0,0,0,0.011548078,-0.0095445905,-0.013565823,-0.022202268,0.019034235,0.017988248,6.9414744,6.7634377,-0.0062935054,-0.007277146,0.003508374,0.0040100366,20,3,31,1,8,1480.9893,215.04097,1987.5118,13.190008,332757.53,445.55374,90.596054,90.59945,201.49608,201.49608,7.609151,1,-69.45368,0,0,2.1021023,2.1021013,0,4,255,0,0,0,1,0,64,0
True,85852625,7999.995,856.93317,6786.0566,-0.1263116,0.2132223,8.317589,0.016076475,0.032557726,14.029733,-0.007248997,-0.010104599,-0.006875137,-1.5973982,0.020235958,0.0012500343,0.3261139,0.29740572,0.46464792,0.47143593,-0.014112812,-0.014262221,5.200203,4.8375034,42.822906,42.873863,64.49693,63.367867,0,0,0,0,0,0,0,0,0,0,0,0,0.011801686,-0.01031611,-0.015930802,-0.024962138,0.018397044,0.017602077,5.2002273,4.837568,-0.005231425,-0.007047564,0.0037865788,0.004212782,20,3,31,1,8,1479.6263,215.01543,1987.4775,14.029779,332871.84,469.00253,90.58276,90.58531,205.47781,205.47781,5.3456945,1,-67.02946,0,0,2.2022023,2.2022014,0,4,255,0,0,0,1,0,64,0
True,85852718,7999.995,856.93317,6986.407,-0.12380193,0.34201235,8.166226,0.021256119,0.025240846,14.810695,-0.031164303,-0.011352016,-0.004827588,-1.5984875,0.017933961,0.0006121574,0.33842263,0.31821367,0.46495953,0.4693451,-0.017651707,-0.01770116,4.544994,4.335972,45.223553,45.28107,66.187775,65.45208,0,0,0,0,0,0,0,0,0,0,0,0,0.008818162,-0.013640683,-0.01998315,-0.027568188,0.01973177,0.022347244,4.5450377,4.3360596,-0.00445275,-0.00573121,0.003806144,0.0040815026,20,3,31,1,8,1478.185,214.98975,1987.4403,14.81073,335050.16,458.04327,90.570694,90.57294,208.7938,208.7938,7.194291,1,-64.46612,0,0,2.3023024,2.3023014,0,4,255,0,0,0,1,0,64,0
True,85852859,7999.995,856.93317,7145.2983,-0.05022782,0.3224473,8.249883,0.025785476,-0.0034689067,15.929638,-0.03994769,-0.0084826145,-0.0076699127,-1.60008,0.012988974,-0.0001138224,0.3473317,0.34088856,0.4970606,0.47376388,-0.018252606,-0.017836394,3.4129028,3.9482543,48.65729,48.700558,66.31009,68.32364,0,0,0,0,0,0,0,0,0,0,0,0,0.0039259256,-0.016637968,-0.016468337,-0.024626518,0.018670043,0.02439178,3.4129424,3.948331,-0.0038891435,-0.00429675,0.00582169,0.0043589473,20,3,31,1,8,1476.1324,214.95956,1987.385,15.929657,331624.5,443.05887,90.55519,90.55929,213.42047,213.42047,7.637002,1,-60.81505,0,0,2.4357693,2.4357681,0,4,255,0,0,0,1,0,64,0
