IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,287593359,7999.995,856.93317,856.946,0.1257283,0.0584305,-0.08504379,-0.00802381,0.00024670624,0.0015931086,0.00029687682,0.000537269,-0.0008940125,-1.303309,0.0053151986,-0.00063393905,0.4222059,0.40270355,0.39670885,0.4067499,0.0004013958,0.00036302558,-0.0009328455,-0.001959926,0.004871147,0.004871147,0.004920039,0.004920039,0,0,0,0,0,0,0,0,0,0,0,0,0.016912987,0.012838925,0.0015080734,0.0018163268,0.01691775,0.012844056,0.0017732698,0.002672144,0.00084754825,-0.0003862083,-0.00047914684,0.00015130639,20,3,31,1,8,1454.4276,515.3818,1989.9166,0.0081841545,-0.04921861,-0.0005484629,172.19786,170.16583,165.42667,165.42667,-11.024998,1,0,0,0,0,437.5551,0,0,0,0,0,255,1,-127,0,252
True,287648281,7999.995,856.93317,1042.5348,0.0016452295,-0.007309741,0.1716957,0.00063153903,-6.9866524E-05,0.01583364,-0.0005592376,-4.1370375E-05,-0.0014178664,-1.5812579,0.033743042,0.02088852,0.41400957,0.40841556,0.40118244,0.4014041,-0.0006514499,-0.0006528944,-0.00081081945,-0.0007932313,0.04899837,0.04919084,0.0506484,0.050896354,0,0,0,0,0,0,0,0,0,0,0,0,0.0069215884,0.004337646,0.004906196,0.0039965278,0.0069521777,0.004386507,0.0049727447,0.004074488,0.00032903254,-2.4855137E-05,-0.00019825995,-0.00018434227,20,3,31,1,8,1533.2692,216.43724,1988.4098,0.015846383,20024.16,185.5997,88.3368,87.97736,93.10311,93.10311,-8.210461,1,-162.51688,0,0,0.066733405,0.066733405,0,8,210,0,0,0,1,0,64,0
True,287648437,7999.995,856.93317,2306.795,-0.03034544,-0.001812989,0.19547042,0.0022334182,-0.00019231589,0.04757597,-0.00016948662,-1.9772953E-05,-0.004583499,-1.5812612,0.033691294,0.020447591,0.41072533,0.4110372,0.40001482,0.40609986,-0.0006575575,-0.0006106705,-0.00087100663,-0.00082351634,0.14570354,0.14566167,0.14715523,0.14716081,0,0,0,0,0,0,0,0,0,0,0,0,0.006815953,0.0038398225,0.004787245,0.0038615593,0.006847598,0.0038880785,0.004865837,0.0039483947,0.00012126565,0.00014099479,-0.00027157366,0.00011049211,20,3,31,1,8,1533.2649,216.43707,1988.41,0.04762875,135443.61,569.99963,88.28558,87.92511,93.0443,93.0443,2.6033182,1,-162.50906,0,0,0.20020021,0.20020023,0,8,255,0,0,0,1,0,64,0
True,287648546,7999.995,856.93317,4111.684,-0.011898501,-0.004711481,0.28727287,0.0012279109,0.0006014548,0.081508264,-0.0002978519,-3.50922E-05,-0.002687328,-1.5812632,0.033683635,0.019927703,0.40660232,0.41546947,0.39642003,0.4112636,-0.0014921629,-0.0010430834,0.018603683,0.017463662,0.24678057,0.24781814,0.30972812,0.30577227,0,0,0,0,0,0,0,0,0,0,0,0,0.0068523604,0.0031300976,0.0045728786,0.0035307505,0.0070129447,0.0032993234,0.019157458,0.017817006,-0.00013956428,0.00042138994,-0.00049728155,0.00043471158,20,3,31,1,8,1533.2563,216.43681,1988.4102,0.08151972,243272.58,569.9997,88.23434,87.87258,92.98546,92.98546,7.042989,1,-162.4938,0,0,0.33366704,0.33366707,0,8,255,0,0,0,1,0,64,0
True,287648656,7999.995,856.93317,4758.8276,-0.012136478,-0.031831566,5.0276504,-0.003909992,-0.0016516818,0.62148035,-0.029112317,-0.0009296618,-0.0024599596,-1.5813097,0.032264393,0.019686582,0.3936025,0.4063649,0.42182848,0.43826905,-0.042723183,-0.042232048,3.8476517,3.2703195,1.8642713,1.8682936,10.056771,9.000179,0,0,0,0,0,0,0,0,0,0,0,0,0.009400803,0.008051092,0.0060373438,0.0054822033,0.043745235,0.042992625,3.8476565,3.270324,-0.00096195936,-0.00015458465,0.0010980517,0.0021303147,20,3,31,1,8,1533.2285,216.4358,1988.4098,0.6214948,281007.66,563.5893,88.20064,87.83997,93.10271,93.10271,7.5604544,1,-162.44447,0,0,0.43376714,0.4337672,0,8,255,0,0,0,1,0,64,0
True,287648750,7999.995,856.93317,4793.163,0.03820224,0.11545293,7.788227,-0.0026227701,0.014967539,1.4621714,-0.0066644675,0.0006105998,9.153759E-06,-1.5813297,0.030496607,0.01961719,0.35274553,0.36831963,0.4660821,0.4930132,-0.0390462,-0.03869279,22.765163,21.856638,4.4127746,4.409618,45.708885,44.605255,0,0,0,0,0,0,0,0,0,0,0,0,0.019780416,0.0046750912,0.028932285,0.018538104,0.04377066,0.038974203,22.765182,21.856646,-0.0035466552,-0.0025614053,0.0038766265,0.0055675656,20,3,31,1,8,1533.1227,216.43346,1988.4084,1.4622504,282664,564.3385,88.178116,87.81704,102.746735,102.746735,7.6720877,1,-162.2564,0,0,0.53386724,0.5338673,0,8,255,0,0,0,1,0,64,0
True,287648890,7999.995,856.93317,5365.408,-0.014683597,-0.23437178,7.2617693,-0.0045488235,-0.009445736,2.475075,0.0012750136,0.00020953537,0.0026333248,-1.5812821,0.03061831,0.019821944,0.3106757,0.3287645,0.45201123,0.49560007,-0.03201763,-0.031851012,24.821638,23.779394,7.509086,7.50809,51.149113,49.947437,0,0,0,0,0,0,0,0,0,0,0,0,0.019830681,0.005233804,0.019280516,0.0095006535,0.037661448,0.03227816,24.821646,23.779396,-0.006208077,-0.0050637424,0.0029931515,0.005729988,20,3,31,1,8,1532.8557,216.42645,1988.4052,2.475097,314870.4,561.9035,88.14925,87.78664,114.904106,114.904106,7.698827,1,-161.78156,0,0,0.6673341,0.667334,0,8,255,0,0,0,1,0,64,0
True,287648984,7999.995,856.93317,5854.7007,-0.11095278,-0.044836156,7.018641,-0.005555954,-0.012020191,3.1681082,-0.0020270213,0.0009939228,0.00090469944,-1.5812305,0.030511245,0.020011408,0.32567462,0.33897993,0.47569406,0.5105448,-0.033386048,-0.03313244,25.969084,25.043312,9.6322775,9.627425,55.68759,54.62834,0,0,0,0,0,0,0,0,0,0,0,0,0.019338917,0.004976619,0.026444238,0.01513059,0.03858266,0.03350411,25.969097,25.043318,-0.005259216,-0.004417494,0.0044801384,0.0066683292,20,3,31,1,8,1532.5728,216.41634,1988.4016,3.1681356,342236.84,559.45557,88.12814,87.76412,123.20326,123.20326,7.7019377,1,-161.27797,0,0,0.7674342,0.76743406,0,8,255,0,0,0,1,0,64,0
True,287649093,7999.995,856.93317,6261.156,-0.07994056,0.25205106,7.5193424,-0.0068107992,0.01399947,3.9154556,0.0053290483,0.0008689661,0.0008045176,-1.5811062,0.030466994,0.0200978,0.33573952,0.34570056,0.5142718,0.5479703,-0.04014538,-0.040013198,26.075977,25.096489,11.89508,11.890834,59.52976,58.44471,0,0,0,0,0,0,0,0,0,0,0,0,0.020913184,0.006591974,0.025785659,0.01155411,0.04526602,0.04055256,26.07599,25.09649,-0.004622489,-0.003992334,0.006902337,0.009018183,20,3,31,1,8,1532.2189,216.40523,1988.3973,3.9154863,350546.38,535.2678,88.108765,87.74352,131.35327,131.35327,7.702611,1,-160.64876,0,0,0.8675343,0.8675341,0,8,255,0,0,0,1,0,64,0
True,287649218,7999.995,856.93317,6726.9893,-0.021026023,-0.13924852,6.9508357,-0.009072766,0.0019920438,4.8805084,-0.001164409,0.0029358277,-0.00020090015,-1.5808396,0.03122488,0.020066371,0.3377445,0.34416527,0.47275,0.4991918,-0.04022725,-0.040102664,26.827223,26.026522,14.861262,14.846426,63.834866,62.916965,0,0,0,0,0,0,0,0,0,0,0,0,0.018141357,0.003322723,0.03221927,0.022191063,0.04412868,0.040240083,26.827242,26.026531,-0.0044956505,-0.00408946,0.0042952895,0.0059555024,20,3,31,1,8,1531.6283,216.38849,1988.3903,4.880517,343979.88,488.64612,88.08546,87.718506,141.62656,141.62656,7.702777,1,-159.59793,0,0,1.0010011,1.0010009,0,8,255,0,0,0,1,0,64,0
